Name,DOB,Class,First Class,Flight Number
John Doe,1/1/1990,ECONOMY,TRUE,AA100
Jane Smith,2/2/1991,BUSINESS,FALSE,BA255
Mia Wong,3/3/1992,FIRST_CLASS,TRUE,AA110
Noah Johnson,4/4/1993,ECONOMY,FALSE,BA249
Isabella Rossi,5/5/1994,BUSINESS,TRUE,AA101
Olivia Brown,1/1/1990,FIRST_CLASS,FALSE,AA100
Liam Davis,2/2/1991,ECONOMY,TRUE,BA255
Emma Miller,3/3/1992,BUSINESS,FALSE,AA110
William Wilson,4/4/1993,FIRST_CLASS,TRUE,BA249
Sophia Taylor,5/5/1994,ECONOMY,FALSE,AA101
John Doe,1/1/1990,BUSINESS,TRUE,AA100
Jane Smith,2/2/1991,FIRST_CLASS,FALSE,BA255
Mia Wong,3/3/1992,ECONOMY,TRUE,AA110
Noah Johnson,4/4/1993,BUSINESS,FALSE,BA249
Isabella Rossi,5/5/1994,FIRST_CLASS,TRUE,AA101
Olivia Brown,1/1/1990,ECONOMY,FALSE,AA100
Liam Davis,2/2/1991,BUSINESS,TRUE,BA255
Emma Miller,3/3/1992,FIRST_CLASS,FALSE,AA110
William Wilson,4/4/1993,ECONOMY,TRUE,BA249
Sophia Taylor,5/5/1994,BUSINESS,FALSE,AA101
John Doe,1/1/1990,FIRST_CLASS,TRUE,AA100
Jane Smith,2/2/1991,ECONOMY,FALSE,BA255
Mia Wong,3/3/1992,BUSINESS,TRUE,AA110
Noah Johnson,4/4/1993,FIRST_CLASS,FALSE,BA249
Isabella Rossi,5/5/1994,ECONOMY,TRUE,AA101
Olivia Brown,1/1/1990,BUSINESS,FALSE,AA100
Liam Davis,2/2/1991,FIRST_CLASS,TRUE,BA255
Emma Miller,3/3/1992,ECONOMY,FALSE,AA110
William Wilson,4/4/1993,BUSINESS,TRUE,BA249
Sophia Taylor,5/5/1994,FIRST_CLASS,FALSE,AA101
John Doe,1/1/1990,ECONOMY,TRUE,AA100
Jane Smith,2/2/1991,BUSINESS,FALSE,BA255
Mia Wong,3/3/1992,FIRST_CLASS,TRUE,AA110
Noah Johnson,4/4/1993,ECONOMY,FALSE,BA249
Isabella Rossi,5/5/1994,BUSINESS,TRUE,AA101
Olivia Brown,1/1/1990,FIRST_CLASS,FALSE,AA100
Liam Davis,2/2/1991,ECONOMY,TRUE,BA255
Emma Miller,3/3/1992,BUSINESS,FALSE,AA110
William Wilson,4/4/1993,FIRST_CLASS,TRUE,BA249
Sophia Taylor,5/5/1994,ECONOMY,FALSE,AA101
John Doe,1/1/1990,BUSINESS,TRUE,AA100
Jane Smith,2/2/1991,FIRST_CLASS,FALSE,BA255
Mia Wong,3/3/1992,ECONOMY,TRUE,AA110
Noah Johnson,4/4/1993,BUSINESS,FALSE,BA249
Isabella Rossi,5/5/1994,FIRST_CLASS,TRUE,AA101
Olivia Brown,1/1/1990,ECONOMY,FALSE,AA100
Liam Davis,2/2/1991,BUSINESS,TRUE,BA255
Emma Miller,3/3/1992,FIRST_CLASS,FALSE,AA110
William Wilson,4/4/1993,ECONOMY,TRUE,BA249
Sophia Taylor,5/5/1994,BUSINESS,FALSE,AA101
John Doe,1/1/1990,FIRST_CLASS,TRUE,AA100
Jane Smith,2/2/1991,ECONOMY,FALSE,BA255
Mia Wong,3/3/1992,BUSINESS,TRUE,AA110
Noah Johnson,4/4/1993,FIRST_CLASS,FALSE,BA249
Isabella Rossi,5/5/1994,ECONOMY,TRUE,AA101
Olivia Brown,1/1/1990,BUSINESS,FALSE,AA100
Liam Davis,2/2/1991,FIRST_CLASS,TRUE,BA255
Emma Miller,3/3/1992,ECONOMY,FALSE,AA110
William Wilson,4/4/1993,BUSINESS,TRUE,BA249
Sophia Taylor,5/5/1994,FIRST_CLASS,FALSE,AA101
John Doe,1/1/1990,ECONOMY,TRUE,AA100
Jane Smith,2/2/1991,BUSINESS,FALSE,BA255
Mia Wong,3/3/1992,FIRST_CLASS,TRUE,AA110
Noah Johnson,4/4/1993,ECONOMY,FALSE,BA249
Isabella Rossi,5/5/1994,BUSINESS,TRUE,AA101
Olivia Brown,1/1/1990,FIRST_CLASS,FALSE,AA100
Liam Davis,2/2/1991,ECONOMY,TRUE,BA255
Emma Miller,3/3/1992,BUSINESS,FALSE,AA110
William Wilson,4/4/1993,FIRST_CLASS,TRUE,BA249
Sophia Taylor,5/5/1994,ECONOMY,FALSE,AA101
John Doe,1/1/1990,BUSINESS,TRUE,AA100
Jane Smith,2/2/1991,FIRST_CLASS,FALSE,BA255
Mia Wong,3/3/1992,ECONOMY,TRUE,AA110
Noah Johnson,4/4/1993,BUSINESS,FALSE,BA249
Isabella Rossi,5/5/1994,FIRST_CLASS,TRUE,AA101
Olivia Brown,1/1/1990,ECONOMY,FALSE,AA100
Liam Davis,2/2/1991,BUSINESS,TRUE,BA255
Emma Miller,3/3/1992,FIRST_CLASS,FALSE,AA110
William Wilson,4/4/1993,ECONOMY,TRUE,BA249
Sophia Taylor,5/5/1994,BUSINESS,FALSE,AA101
John Doe,1/1/1990,FIRST_CLASS,TRUE,AA100
Jane Smith,2/2/1991,ECONOMY,FALSE,BA255
Mia Wong,3/3/1992,BUSINESS,TRUE,AA110
Noah Johnson,4/4/1993,FIRST_CLASS,FALSE,BA249
Isabella Rossi,5/5/1994,ECONOMY,TRUE,AA101
Olivia Brown,1/1/1990,BUSINESS,FALSE,AA100
Liam Davis,2/2/1991,FIRST_CLASS,TRUE,BA255
Emma Miller,3/3/1992,ECONOMY,FALSE,AA110
William Wilson,4/4/1993,BUSINESS,TRUE,BA249
Sophia Taylor,5/5/1994,FIRST_CLASS,FALSE,AA101
John Doe,1/1/1990,ECONOMY,TRUE,AA100
Jane Smith,2/2/1991,BUSINESS,FALSE,BA255
